"age","sex","category","population"
66,"Miehet","v2010",29
66,"Miehet","v2024",42
67,"Miehet","v1990",44
67,"Miehet","v2010",40
67,"Miehet","v2024",47
68,"Miehet","v1990",24
68,"Miehet","v2010",29
68,"Miehet","v2024",32
69,"Miehet","v1990",30
69,"Miehet","v2010",34
69,"Miehet","v2024",42
70,"Miehet","v1990",28
70,"Miehet","v2010",33
70,"Miehet","v2024",38
71,"Miehet","v1990",21
71,"Miehet","v2010",33
71,"Miehet","v2024",26
72,"Miehet","v1990",22
72,"Miehet","v2010",34
72,"Miehet","v2024",42
73,"Miehet","v1990",19
73,"Miehet","v2010",30
73,"Miehet","v2024",42
74,"Miehet","v1990",23
74,"Miehet","v2010",30
74,"Miehet","v2024",37
75,"Miehet","v1990",13
75,"Miehet","v2010",32
75,"Miehet","v2024",47
76,"Miehet","v1990",21
76,"Miehet","v2010",24
76,"Miehet","v2024",42
77,"Miehet","v1990",21
77,"Miehet","v2010",24
77,"Miehet","v2024",37
78,"Miehet","v1990",18
78,"Miehet","v2010",21
78,"Miehet","v2024",50
79,"Miehet","v1990",14
79,"Miehet","v2010",21
79,"Miehet","v2024",20
80,"Miehet","v1990",19
80,"Miehet","v2010",20
80,"Miehet","v2024",24
81,"Miehet","v1990",7
81,"Miehet","v2010",19
81,"Miehet","v2024",24
82,"Miehet","v1990",12
82,"Miehet","v2010",13
82,"Miehet","v2024",19
83,"Miehet","v1990",7
83,"Miehet","v2010",13
83,"Miehet","v2024",16
84,"Miehet","v1990",8
84,"Miehet","v2010",13
84,"Miehet","v2024",9
85,"Miehet","v1990",10
85,"Miehet","v2010",10
85,"Miehet","v2024",19
86,"Miehet","v1990",0
86,"Miehet","v2010",14
86,"Miehet","v2024",10
87,"Miehet","v1990",4
87,"Miehet","v2010",10
87,"Miehet","v2024",11
88,"Miehet","v1990",2
88,"Miehet","v2010",7
88,"Miehet","v2024",12
89,"Miehet","v1990",5
89,"Miehet","v2010",4
89,"Miehet","v2024",8
90,"Miehet","v1990",1
90,"Miehet","v2010",1
90,"Miehet","v2024",7
91,"Miehet","v1990",2
91,"Miehet","v2010",2
91,"Miehet","v2024",4
92,"Miehet","v1990",1
92,"Miehet","v2010",2
92,"Miehet","v2024",3
93,"Miehet","v1990",0
93,"Miehet","v2010",1
93,"Miehet","v2024",1
94,"Miehet","v1990",0
94,"Miehet","v2010",1
94,"Miehet","v2024",4
95,"Miehet","v1990",1
95,"Miehet","v2010",0
95,"Miehet","v2024",0
96,"Miehet","v1990",0
96,"Miehet","v2010",1
96,"Miehet","v2024",0
97,"Miehet","v1990",0
97,"Miehet","v2010",0
97,"Miehet","v2024",0
98,"Miehet","v1990",0
